episode,return,steps_to_goal
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.0,
51,0.0,
52,0.0,
53,0.0,
54,0.0,
55,0.0,
56,0.0,
57,0.0,
58,0.0,
59,0.0,
60,0.0,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.0,
70,0.0,
71,0.0,
72,0.0,
73,0.0,
74,0.0,
75,0.0,
76,0.0,
77,0.0,
78,0.0,
79,0.0,
80,0.0,
81,0.0,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.0,
92,0.0,
93,0.0,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,0.0,
99,0.0,
100,0.0,
101,1.0,12
102,0.0,
103,1.0,20
104,0.0,
105,0.0,
106,0.0,
107,1.0,14
108,1.0,17
109,0.0,
110,1.0,36
111,1.0,41
112,1.0,6
113,1.0,13
114,1.0,21
115,1.0,20
116,1.0,15
117,0.0,
118,1.0,9
119,1.0,25
120,0.0,
121,0.0,
122,1.0,19
123,1.0,20
124,0.0,
125,1.0,39
126,1.0,16
127,1.0,10
128,1.0,12
129,0.0,
130,1.0,18
131,0.0,
132,0.0,
133,1.0,12
134,1.0,30
135,1.0,32
136,0.0,
137,0.0,
138,1.0,30
139,1.0,46
140,1.0,48
141,0.0,
142,1.0,15
143,0.0,
144,0.0,
145,1.0,39
146,1.0,42
147,0.0,
148,0.0,
149,1.0,30
150,1.0,28
151,1.0,20
152,1.0,14
153,1.0,29
154,1.0,20
155,1.0,19
156,1.0,10
157,1.0,22
158,1.0,20
159,0.0,
160,1.0,8
161,1.0,42
162,0.0,
163,1.0,24
164,0.0,
165,0.0,
166,0.0,
167,1.0,36
168,1.0,40
169,1.0,19
170,0.0,
171,1.0,17
172,1.0,7
173,0.0,
174,1.0,32
175,0.0,
176,1.0,33
177,1.0,30
178,0.0,
179,1.0,31
180,1.0,19
181,0.0,
182,0.0,
183,0.0,
184,0.0,
185,1.0,46
186,0.0,
187,1.0,21
188,1.0,14
189,0.0,
190,0.0,
191,1.0,8
192,0.0,
193,1.0,26
194,1.0,31
195,1.0,18
196,1.0,10
197,1.0,37
198,1.0,17
199,0.0,
200,1.0,28
201,1.0,14
202,1.0,13
